"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"25483","滋賀県","東浅井郡","ひがしあざいぐん","湖北町","こほくちょう","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
"25484","滋賀県","東浅井郡","ひがしあざいぐん","びわ村","びわむら","1971-04-01","びわ村(25484)がびわ町(25484)に町制施行"
"25484","滋賀県","東浅井郡","ひがしあざいぐん","びわ町","びわちょう","1971-04-01","びわ村(25484)がびわ町(25484)に町制施行"
"25484","滋賀県","東浅井郡","ひがしあざいぐん","びわ町","びわちょう","2006-02-13","長浜市(25203)、浅井町(25481)、びわ町(25484)が合併し、長浜市を新設"
"25501","滋賀県","伊香郡","いかぐん","高月町","たかつきちょう","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
"25502","滋賀県","伊香郡","いかぐん","木之本町","きのもとちょう","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
"25503","滋賀県","伊香郡","いかぐん","余呉村","よごむら","1971-04-01","余呉村(25503)が余呉町(25503)に町制施行"
"25503","滋賀県","伊香郡","いかぐん","余呉町","よごちょう","1971-04-01","余呉村(25503)が余呉町(25503)に町制施行"
"25503","滋賀県","伊香郡","いかぐん","余呉町","よごちょう","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
"25504","滋賀県","伊香郡","いかぐん","西浅井町","にしあざいちょう","1971-04-01","西浅井村(25504)が西浅井町(25504)に町制施行"
"25504","滋賀県","伊香郡","いかぐん","西浅井村","にしあざいむら","1971-04-01","西浅井村(25504)が西浅井町(25504)に町制施行"
"25504","滋賀県","伊香郡","いかぐん","西浅井町","にしあざいちょう","2010-01-01","虎姫町(25482)、湖北町(25483)、高月町(25501)、木之本町(25502)、余呉町(25503)、西浅井町(25504)が長浜市(25203)に編入
伊香郡(25500)の廃止
東浅井郡(25480)の廃止"
"25521","滋賀県","高島郡","たかしまぐん","マキノ町","まきのちょう","2005-01-01","マキノ町(25521)、今津町(25522)、朽木村(25523)、安曇川町(25524)、高島町(25525)、新旭町(25526)が合併し、高島市(25212)を新設
高島郡(25520)の廃止"
"25522","滋賀県","高島郡","たかしまぐん","今津町","いまづちょう","2005-01-01","マキノ町(25521)、今津町(25522)、朽木村(25523)、安曇川町(25524)、高島町(25525)、新旭町(25526)が合併し、高島市(25212)を新設
高島郡(25520)の廃止"
